Date,Times
2015-04-05,4
2015-04-06,43
2015-04-07,36
2015-04-08,29
2015-04-09,42
2015-04-10,22
2015-04-11,28
2015-04-12,19
2015-04-13,33
2015-04-14,38
2015-04-15,37
2015-04-16,33
2015-04-17,23
2015-04-18,33
2015-04-19,66
2015-04-20,83
2015-04-21,84
2015-04-22,67
2015-04-23,85
2015-04-24,91
2015-04-25,105
2015-04-26,142
2015-04-27,180
2015-04-28,118
2015-04-29,19
2015-04-30,47
2015-05-01,62
2015-05-02,87
2015-05-03,44
2015-05-04,55
2015-05-05,59
2015-05-06,42
2015-05-07,39
2015-05-08,29
2015-05-09,29
2015-05-10,20
2015-05-11,21
2015-05-12,25
2015-05-13,21
2015-05-14,24
2015-05-15,13
2015-05-16,26
2015-05-17,23
2015-05-18,11
2015-05-19,17
2015-05-20,22
2015-05-21,17
2015-05-22,19
2015-05-23,9
2015-05-24,12
2015-05-25,20
2015-05-26,8
2015-05-27,19
2015-05-28,26
2015-05-29,28
2015-05-30,18
2015-05-31,28
2015-06-01,43
2015-06-02,54
2015-06-03,43
2015-06-04,46
2015-06-05,26
2015-06-06,21
2015-06-07,37
2015-06-08,26
2015-06-09,17
2015-06-10,20
2015-06-11,20
2015-06-12,27
2015-06-13,23
2015-06-14,44
2015-06-15,30
2015-06-16,34
2015-06-17,24
2015-06-18,25
2015-06-19,16
2015-06-20,22
2015-06-21,40
2015-06-22,62
2015-06-23,64
2015-06-24,27
2015-06-25,35
2015-06-26,28
2015-06-27,31
2015-06-28,41
2015-06-29,35
2015-06-30,35
2015-07-01,58
2015-07-02,47
2015-07-03,40
2015-07-04,36
2015-07-05,36
2015-07-06,31
2015-07-07,32
2015-07-08,24
2015-07-09,22
2015-07-10,20
2015-07-11,24
2015-07-12,34
2015-07-13,18
2015-07-14,27
2015-07-15,35
2015-07-16,19
2015-07-17,12
2015-07-18,6
2015-07-19,17
2015-07-20,23
2015-07-21,31
2015-07-22,51
2015-07-23,39
2015-07-24,28
2015-07-25,30
2015-07-26,24
2015-07-27,23
2015-07-28,24
2015-07-29,31
2015-07-30,42
2015-07-31,37
2015-08-01,27
2015-08-02,32
2015-08-03,24
2015-08-04,28
2015-08-05,32
2015-08-06,22
